Date&Time;Cloudfactor;Windspeed;powerConsumption_CustomConsumer@18/5_Bus0;powerConsumption_CustomConsumer@18/6_Bus0;powerConsumption_CustomConsumer@18/9_Bus0;powerConsumption_CustomConsumer@14/10_Bus0;powerConsumption_CustomConsumer@18/11_Bus0;powerConsumption_CustomConsumer@13/11_Bus0;powerConsumption_CustomConsumer@13/12_Bus0;powerConsumption_CustomConsumer@19/13_Bus0;powerConsumption_CustomConsumer@14/14_Bus0;powerConsumption_CustomConsumer@17/16_Bus0;powerProduction_SolarPowerPlant@18/3_Bus0;powerProduction_SolarPowerPlant@20/6_Bus0;powerProduction_SolarPowerPlant@20/9_Bus0;powerProduction_SolarPowerPlant@14/8_Bus0;powerProduction_SolarPowerPlant@20/11_Bus0;powerProduction_SolarPowerPlant@11/11_Bus0;powerProduction_SolarPowerPlant@21/13_Bus0;powerProduction_SolarPowerPlant@14/16_Bus0;powerProduction_SolarPowerPlant@11/13_Bus0;powerProduction_SolarPowerPlant@19/16_Bus0;
2018.01.01   06.30;0.0;1.527;48861.225;48861.225;48861.225;29316.735;68405.715;29316.735;29316.735;71663.13;60805.08;82521.18;0.2267;0.2267;0.2267;0.136;0.3173;0.136;0.3325;0.2821;0.136;0.3828
2018.01.01   07.30;0.277;1.619;57164.23125;57164.23125;57164.23125;34298.53875;80029.92375;34298.53875;34298.53875;83840.8725;71137.71;96544.035;8837.06;8837.06;8837.06;5302.236;12371.884;5302.236;12961.0214;10997.2302;5302.236;14924.8125
2018.01.01   08.30;0.341;2.595;54867.88125;54867.88125;54867.88125;32920.72875;76815.03375;32920.72875;32920.72875;80472.8925;68280.03;92665.755;123585.794;123585.794;123585.794;74151.4764;173020.1116;74151.4764;181259.1645;153795.6548;74151.4764;208722.6743
2018.01.01   09.30;0.46;3.037;50392.125;50392.125;50392.125;30235.275;70548.975;30235.275;30235.275;73908.45;62710.2;85106.7;149230.0987;149230.0987;149230.0987;89538.0592;208922.1381;89538.0592;218870.8114;185708.5672;89538.0592;252033.0555
2018.01.01   10.30;0.318;2.644;49382.15625;49382.15625;49382.15625;29629.29375;69135.01875;29629.29375;29629.29375;72427.1625;61453.35;83400.975;216338.2678;216338.2678;216338.2678;129802.9607;302873.5749;129802.9607;317296.1261;269220.9554;129802.9607;365371.2967
2018.01.01   11.30;0.563;1.828;52645.95;52645.95;52645.95;31587.57;73704.33;31587.57;31587.57;77214.06;65514.96;88913.16;145989.8654;145989.8654;145989.8654;87593.9192;204385.8116;87593.9192;214118.4692;181676.2769;87593.9192;246560.6616
2018.01.01   12.30;0.409;2.934;56738.98125;56738.98125;56738.98125;34043.38875;79434.57375;34043.38875;34043.38875;83217.1725;70608.51;95825.835;197392.5543;197392.5543;197392.5543;118435.5326;276349.576;118435.5326;289509.0797;245644.0676;118435.5326;333374.0917
2018.01.01   13.30;0.576;1.278;51986.8125;51986.8125;51986.8125;31192.0875;72781.5375;31192.0875;31192.0875;76247.325;64694.7;87799.95;134389.8617;134389.8617;134389.8617;80633.917;188145.8063;80633.917;197105.1304;167240.7167;80633.917;226969.5441
2018.01.01   14.30;0.78;1.602;46543.6125;46543.6125;46543.6125;27926.1675;65161.0575;27926.1675;27926.1675;68263.965;57920.94;78606.99;60676.1674;60676.1674;60676.1674;36405.7004;84946.6343;36405.7004;88991.7121;75508.1194;36405.7004;102475.3049
2018.01.01   15.30;0.734;1.857;43726.33125;43726.33125;43726.33125;26235.79875;61216.86375;26235.79875;26235.79875;64131.9525;54414.99;73848.915;49554.9616;49554.9616;49554.9616;29732.977;69376.9463;29732.977;72680.6104;61668.3967;29732.977;83692.8241
2018.01.01   16.30;0.511;1.095;48393.45;48393.45;48393.45;29036.07;67750.83;29036.07;29036.07;70977.06;60222.96;81731.16;5522.8894;5522.8894;5522.8894;3313.7337;7732.0452;3313.7337;8100.2378;6872.9291;3313.7337;9327.5466
2018.01.01   17.30;0.585;1.898;62671.21875;62671.21875;62671.21875;37602.73125;87739.70625;37602.73125;37602.73125;91917.7875;77990.85;105844.725;0.0856;0.0856;0.0856;0.0514;0.1198;0.0514;0.1255;0.1065;0.0514;0.1446
2018.01.01   18.30;0.55;1.738;76863.9375;76863.9375;76863.9375;46118.3625;107609.5125;46118.3625;46118.3625;112733.775;95652.9;129814.65;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
2018.01.01   19.30;0.306;2.227;77469.91875;77469.91875;77469.91875;46481.95125;108457.88625;46481.95125;46481.95125;113622.5475;96407.01;130838.085;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
2018.01.01   20.30;0.403;2.285;65041.9875;65041.9875;65041.9875;39025.1925;91058.7825;39025.1925;39025.1925;95394.915;80941.14;109848.69;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
2018.01.01   21.30;0.514;1.764;55208.08125;55208.08125;55208.08125;33124.84875;77291.31375;33124.84875;33124.84875;80971.8525;68703.39;93240.315;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
2018.01.01   22.30;0.581;2.238;43290.45;43290.45;43290.45;25974.27;60606.63;25974.27;25974.27;63492.66;53872.56;73112.76;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
2018.01.01   23.30;0.663;3.657;30384.1125;30384.1125;30384.1125;18230.4675;42537.7575;18230.4675;18230.4675;44563.365;37811.34;51315.39;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
2018.01.02   00.30;0.706;2.148;20688.4125;20688.4125;20688.4125;12413.0475;28963.7775;12413.0475;12413.0475;30343.005;25745.58;34940.43;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
2018.01.02   01.30;0.729;0.867;17265.15;17265.15;17265.15;10359.09;24171.21;10359.09;10359.09;25322.22;21485.52;29158.92;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
2018.01.02   02.30;0.843;2.738;16574.11875;16574.11875;16574.11875;9944.47125;23203.76625;9944.47125;9944.47125;24308.7075;20625.57;27991.845;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
2018.01.02   03.30;0.606;1.084;16350.8625;16350.8625;16350.8625;9810.5175;22891.2075;9810.5175;9810.5175;23981.265;20347.74;27614.79;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
2018.01.02   04.30;0.457;1.442;17360.83125;17360.83125;17360.83125;10416.49875;24305.16375;10416.49875;10416.49875;25462.5525;21604.59;29320.515;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
2018.01.02   05.30;0.655;2.777;27035.26875;27035.26875;27035.26875;16221.16125;37849.37625;16221.16125;16221.16125;39651.7275;33643.89;45659.565;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
2018.01.02   06.30;0.429;1.834;48861.225;48861.225;48861.225;29316.735;68405.715;29316.735;29316.735;71663.13;60805.08;82521.18;0.1266;0.1266;0.1266;0.0759;0.1772;0.0759;0.1856;0.1575;0.0759;0.2138
2018.01.02   07.30;0.406;1.727;57164.23125;57164.23125;57164.23125;34298.53875;80029.92375;34298.53875;34298.53875;83840.8725;71137.71;96544.035;7194.4135;7194.4135;7194.4135;4316.6481;10072.1789;4316.6481;10551.8064;8953.0479;4316.6481;12150.565
2018.01.02   08.30;0.569;1.227;54867.88125;54867.88125;54867.88125;32920.72875;76815.03375;32920.72875;32920.72875;80472.8925;68280.03;92665.755;80870.3727;80870.3727;80870.3727;48522.2236;113218.5218;48522.2236;118609.88;100638.686;48522.2236;136581.0739
2018.01.02   09.30;0.512;1.913;50392.125;50392.125;50392.125;30235.275;70548.975;30235.275;30235.275;73908.45;62710.2;85106.7;134977.9747;134977.9747;134977.9747;80986.7848;188969.1646;80986.7848;197967.6963;167972.5908;80986.7848;227962.8018
2018.01.02   10.30;0.478;2.043;49382.15625;49382.15625;49382.15625;29629.29375;69135.01875;29629.29375;29629.29375;72427.1625;61453.35;83400.975;165754.9062;165754.9062;165754.9062;99452.9437;232056.8687;99452.9437;243107.1958;206272.7722;99452.9437;279941.6194
2018.01.02   11.30;0.501;0.605;52645.95;52645.95;52645.95;31587.57;73704.33;31587.57;31587.57;77214.06;65514.96;88913.16;166909.9024;166909.9024;166909.9024;100145.9414;233673.8633;100145.9414;244801.1901;207710.1007;100145.9414;281892.2795
2018.01.02   12.30;0.656;1.844;56738.98125;56738.98125;56738.98125;34043.38875;79434.57375;34043.38875;34043.38875;83217.1725;70608.51;95825.835;115081.5136;115081.5136;115081.5136;69048.9082;161114.119;69048.9082;168786.2199;143212.5502;69048.9082;194359.8896
2018.01.02   13.30;0.74;2.105;51986.8125;51986.8125;51986.8125;31192.0875;72781.5375;31192.0875;31192.0875;76247.325;64694.7;87799.95;82604.2354;82604.2354;82604.2354;49562.5413;115645.9296;49562.5413;121152.8787;102796.3819;49562.5413;139509.3754
2018.01.02   14.30;0.928;2.049;46543.6125;46543.6125;46543.6125;27926.1675;65161.0575;27926.1675;27926.1675;68263.965;57920.94;78606.99;19941.4132;19941.4132;19941.4132;11964.8479;27917.9784;11964.8479;29247.406;24815.9808;11964.8479;33678.8311
2018.01.02   15.30;0.877;1.189;43726.33125;43726.33125;43726.33125;26235.79875;61216.86375;26235.79875;26235.79875;64131.9525;54414.99;73848.915;23181.5067;23181.5067;23181.5067;13908.904;32454.1094;13908.904;33999.5432;28848.0972;13908.904;39150.9891
2018.01.02   16.30;1.0;1.464;48393.45;48393.45;48393.45;29036.07;67750.83;29036.07;29036.07;70977.06;60222.96;81731.16;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
2018.01.02   17.30;0.957;2.099;62671.21875;62671.21875;62671.21875;37602.73125;87739.70625;37602.73125;37602.73125;91917.7875;77990.85;105844.725;0.0102;0.0102;0.0102;0.0061;0.0143;0.0061;0.0149;0.0127;0.0061;0.0172
2018.01.02   18.30;0.757;0.753;76863.9375;76863.9375;76863.9375;46118.3625;107609.5125;46118.3625;46118.3625;112733.775;95652.9;129814.65;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
2018.01.02   19.30;0.738;1.422;77469.91875;77469.91875;77469.91875;46481.95125;108457.88625;46481.95125;46481.95125;113622.5475;96407.01;130838.085;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
2018.01.02   20.30;0.649;0.422;65041.9875;65041.9875;65041.9875;39025.1925;91058.7825;39025.1925;39025.1925;95394.915;80941.14;109848.69;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
