Date&Time,Cloudfactor,Windspeed,Gartland 1,Gartland 2,Fontaine,Foy 1,Foy 2,Foy 3,Dyson,Lowell Thomas,Hancock,Library,,Gartland 1,Gartland 2,Fontaine,Foy 1,Foy 2,Foy 3,Dyson,Lowell Thomas,Hancock,Library
2018.04.19   17.30,0.274,2.504,38995.425,38995.425,38995.425,23397.255,23397.255,23397.255,54593.595,57193.29,48527.64,65858.94,,236094.4024,236094.4024,236094.4024,141656.6414,141656.6414,141656.6414,330532.1633,346271.7901,293806.3674,398737.2129
2018.04.19   18.30,0.343,1.601,25993.40625,25993.40625,25993.40625,15596.04375,15596.04375,15596.04375,36390.76875,38123.6625,32347.35,43899.975,,150991.6565,150991.6565,150991.6565,90594.9939,90594.9939,90594.9939,211388.3191,221454.4295,187900.7281,255008.1309
2018.04.19   19.30,0.433,0.878,22070.475,22070.475,22070.475,13242.285,13242.285,13242.285,30898.665,32370.03,27465.48,37274.58,,14155.817,14155.817,14155.817,8493.4902,8493.4902,8493.4902,19818.1438,20761.8649,17616.1278,23907.602
2018.04.19   20.30,0.364,2.256,20401.36875,20401.36875,20401.36875,12240.82125,12240.82125,12240.82125,28561.91625,29922.0075,25388.37,34455.645,,0.2041,0.2041,0.2041,0.1225,0.1225,0.1225,0.2858,0.2994,0.254,0.3447
2018.04.19   21.30,0.477,2.725,20008.0125,20008.0125,20008.0125,12004.8075,12004.8075,12004.8075,28011.2175,29345.085,24898.86,33791.31,,0,0,0,0,0,0,1.00E-04,1.00E-04,1.00E-04,1.00E-04
2018.04.19   22.30,0.52,2.365,22155.525,22155.525,22155.525,13293.315,13293.315,13293.315,31017.735,32494.77,27571.32,37418.22,,0,0,0,0,0,0,0,0,0,0
2018.04.19   23.30,0.503,2.888,31883.11875,31883.11875,31883.11875,19129.87125,19129.87125,19129.87125,44636.36625,46761.9075,39676.77,53847.045,,0,0,0,0,0,0,0,0,0,0
2018.04.20   00.30,0.304,0.94,50232.65625,50232.65625,50232.65625,30139.59375,30139.59375,30139.59375,70325.71875,73674.5625,62511.75,84837.375,,0,0,0,0,0,0,0,0,0,0
2018.04.20   01.30,0.329,1.79,57972.20625,57972.20625,57972.20625,34783.32375,34783.32375,34783.32375,81161.08875,85025.9025,72143.19,97908.615,,0,0,0,0,0,0,0,0,0,0
2018.04.20   02.30,0.574,1.547,61469.8875,61469.8875,61469.8875,36881.9325,36881.9325,36881.9325,86057.8425,90155.835,76495.86,103815.81,,0,0,0,0,0,0,0,0,0,0
2018.04.20   03.30,0.613,2.036,60215.4,60215.4,60215.4,36129.24,36129.24,36129.24,84301.56,88315.92,74934.72,101697.12,,0,0,0,0,0,0,0,0,0,0
2018.04.20   04.30,0.795,1.957,59045.9625,59045.9625,59045.9625,35427.5775,35427.5775,35427.5775,82664.3475,86600.745,73479.42,99722.07,,1.00E-04,1.00E-04,1.00E-04,0,0,0,1.00E-04,1.00E-04,1.00E-04,1.00E-04
2018.04.20   05.30,0.72,1.324,63500.45625,63500.45625,63500.45625,38100.27375,38100.27375,38100.27375,88900.63875,93134.0025,79022.79,107245.215,,0.5653,0.5653,0.5653,0.3392,0.3392,0.3392,0.7914,0.8291,0.7035,0.9547
2018.04.20   06.30,0.945,2.78,67997.475,67997.475,67997.475,40798.485,40798.485,40798.485,95196.465,99729.63,84619.08,114840.18,,3573.366,3573.366,3573.366,2144.0196,2144.0196,2144.0196,5002.7125,5240.9369,4446.8555,6035.0182
2018.04.20   07.30,0.808,2.281,60194.1375,60194.1375,60194.1375,36116.4825,36116.4825,36116.4825,84271.7925,88284.735,74908.26,101661.21,,48504.7785,48504.7785,48504.7785,29102.8671,29102.8671,29102.8671,67906.69,71140.3419,60361.5022,81919.1815
2018.04.20   08.30,0.684,0.958,52847.94375,52847.94375,52847.94375,31708.76625,31708.76625,31708.76625,73987.12125,77510.3175,65766.33,89254.305,,106284.2571,106284.2571,106284.2571,63770.5543,63770.5543,63770.5543,148797.9599,155883.5771,132264.8533,179502.3009
2018.04.20   09.30,0.906,0.955,49105.74375,49105.74375,49105.74375,29463.44625,29463.44625,29463.44625,68748.04125,72021.7575,61109.37,82934.145,,35777.5821,35777.5821,35777.5821,21466.5493,21466.5493,21466.5493,50088.615,52473.7871,44523.2133,60424.361
2018.04.20   10.30,0.843,1.86,49775.5125,49775.5125,49775.5125,29865.3075,29865.3075,29865.3075,69685.7175,73004.085,61942.86,84065.31,,63751.2031,63751.2031,63751.2031,38250.7219,38250.7219,38250.7219,89251.6844,93501.7646,79334.8305,107668.6986
2018.04.20   11.30,0.83,1.225,55729.0125,55729.0125,55729.0125,33437.4075,33437.4075,33437.4075,78020.6175,81735.885,69351.66,94120.11,,71449.4582,71449.4582,71449.4582,42869.6749,42869.6749,42869.6749,100029.2414,104792.5387,88914.8813,120670.196
2018.04.20   12.30,0.732,1.426,65733.01875,65733.01875,65733.01875,39439.81125,39439.81125,39439.81125,92026.22625,96408.4275,81801.09,111015.765,,114309.2292,114309.2292,114309.2292,68585.5375,68585.5375,68585.5375,160032.9209,167653.5362,142251.4852,193055.5871
2018.04.20   13.30,0.784,2.731,72037.35,72037.35,72037.35,43222.41,43222.41,43222.41,100852.29,105654.78,89646.48,121663.08,,92010.9714,92010.9714,92010.9714,55206.5829,55206.5829,55206.5829,128815.36,134949.4248,114502.5422,155396.3073
2018.04.20   14.30,0.584,1.662,68688.50625,68688.50625,68688.50625,41213.10375,41213.10375,41213.10375,96163.90875,100743.1425,85479.03,116007.255,,174112.8744,174112.8744,174112.8744,104467.7247,104467.7247,104467.7247,243758.0242,255365.5492,216673.7993,294057.299
2018.04.20   15.30,0.476,1.235,64999.4625,64999.4625,64999.4625,38999.6775,38999.6775,38999.6775,90999.2475,95332.545,80888.22,109776.87,,211044.5765,211044.5765,211044.5765,126626.7459,126626.7459,126626.7459,295462.4071,309532.0455,262633.2507,356430.8403
2018.04.20   16.30,0.632,2.612,55590.80625,55590.80625,55590.80625,33354.48375,33354.48375,33354.48375,77827.12875,81533.1825,69179.67,93886.695,,137976.6413,137976.6413,137976.6413,82785.9848,82785.9848,82785.9848,193167.2978,202365.7406,171704.2647,233027.2164
2018.04.20   17.30,0.73,1.574,38995.425,38995.425,38995.425,23397.255,23397.255,23397.255,54593.595,57193.29,48527.64,65858.94,,88094.6076,88094.6076,88094.6076,52856.7646,52856.7646,52856.7646,123332.4506,129205.4245,109628.845,148782.0039
2018.04.20   18.30,0.851,1.825,31425.975,31425.975,31425.975,18855.585,18855.585,18855.585,43996.365,46091.43,39107.88,53074.98,,34579.2136,34579.2136,34579.2136,20747.5282,20747.5282,20747.5282,48410.8991,50716.18,43031.9103,58400.4497
2018.04.20   19.30,0.861,1.801,24037.25625,24037.25625,24037.25625,14422.35375,14422.35375,14422.35375,33652.15875,35254.6425,29913.03,40596.255,,3935.0787,3935.0787,3935.0787,2361.0472,2361.0472,2361.0472,5509.1101,5771.4487,4896.9868,6645.9107
2018.04.20   20.30,0.725,1.921,21528.28125,21528.28125,21528.28125,12916.96875,12916.96875,12916.96875,30139.59375,31574.8125,26790.75,36358.875,,0.1089,0.1089,0.1089,0.0653,0.0653,0.0653,0.1524,0.1597,0.1355,0.1839
2018.04.20   21.30,0.525,1.296,21294.39375,21294.39375,21294.39375,12776.63625,12776.63625,12776.63625,29812.15125,31231.7775,26499.69,35963.865,,0,0,0,0,0,0,1.00E-04,1.00E-04,1.00E-04,1.00E-04
2018.04.20   22.30,0.636,2.77,21602.7,21602.7,21602.7,12961.62,12961.62,12961.62,30243.78,31683.96,26883.36,36484.56,,0,0,0,0,0,0,0,0,0,0
2018.04.20   23.30,0.796,2.056,23548.21875,23548.21875,23548.21875,14128.93125,14128.93125,14128.93125,32967.50625,34537.3875,29304.45,39770.325,,0,0,0,0,0,0,0,0,0,0
2018.04.21   00.30,0.764,2.479,32606.04375,32606.04375,32606.04375,19563.62625,19563.62625,19563.62625,45648.46125,47822.1975,40576.41,55067.985,,0,0,0,0,0,0,0,0,0,0
2018.04.21   01.30,0.893,1.609,47192.11875,47192.11875,47192.11875,28315.27125,28315.27125,28315.27125,66068.96625,69215.1075,58727.97,79702.245,,0,0,0,0,0,0,0,0,0,0
2018.04.21   02.30,0.678,2.433,61161.58125,61161.58125,61161.58125,36696.94875,36696.94875,36696.94875,85626.21375,89703.6525,76112.19,103295.115,,0,0,0,0,0,0,0,0,0,0
2018.04.21   03.30,0.586,1.686,69103.125,69103.125,69103.125,41461.875,41461.875,41461.875,96744.375,101351.25,85995,116707.5,,0,0,0,0,0,0,0,0,0,0
2018.04.21   04.30,0.569,2.139,70921.06875,70921.06875,70921.06875,42552.64125,42552.64125,42552.64125,99289.49625,104017.5675,88257.33,119777.805,,1.00E-04,1.00E-04,1.00E-04,1.00E-04,1.00E-04,1.00E-04,2.00E-04,2.00E-04,2.00E-04,2.00E-04
2018.04.21   05.30,0.786,1.619,75364.93125,75364.93125,75364.93125,45218.95875,45218.95875,45218.95875,105510.9038,110535.2325,93787.47,127282.995,,0.5788,0.5788,0.5788,0.3473,0.3473,0.3473,0.8103,0.8489,0.7202,0.9775
