Date&Time,Cloudfactor,Windspeed,powerConsumption_CustomConsumer@18/5_Bus0,powerConsumption_CustomConsumer@18/6_Bus0,powerConsumption_CustomConsumer@18/9_Bus0,powerConsumption_CustomConsumer@14/10_Bus0,powerConsumption_CustomConsumer@18/11_Bus0,powerConsumption_CustomConsumer@13/11_Bus0,powerConsumption_CustomConsumer@13/12_Bus0,powerConsumption_CustomConsumer@19/13_Bus0,powerConsumption_CustomConsumer@14/14_Bus0,powerConsumption_CustomConsumer@17/16_Bus0,,powerProduction_SolarPowerPlant@18/3_Bus0,powerProduction_SolarPowerPlant@20/6_Bus0,powerProduction_SolarPowerPlant@20/9_Bus0,powerProduction_SolarPowerPlant@14/8_Bus0,powerProduction_SolarPowerPlant@20/11_Bus0,powerProduction_SolarPowerPlant@11/11_Bus0,powerProduction_SolarPowerPlant@21/13_Bus0,powerProduction_SolarPowerPlant@14/16_Bus0,powerProduction_SolarPowerPlant@11/13_Bus0,powerProduction_SolarPowerPlant@19/16_Bus0
2018.07.02   09.30,0.46,1.525,60215.4,60215.4,60215.4,36129.24,84301.56,36129.24,36129.24,88315.92,74934.72,101697.12,,214924.1376,214924.1376,214924.1376,128954.4826,300893.7927,128954.4826,315222.0685,267461.149,128954.4826,362982.988
2018.07.02   10.30,0.318,1.194,59045.9625,59045.9625,59045.9625,35427.5775,82664.3475,35427.5775,35427.5775,86600.745,73479.42,99722.07,,285578.9653,285578.9653,285578.9653,171347.3792,399810.5514,171347.3792,418849.1491,355387.1568,171347.3792,482311.1414
2018.07.02   11.30,0.563,1.202,63500.45625,63500.45625,63500.45625,38100.27375,88900.63875,38100.27375,38100.27375,93134.0025,79022.79,107245.215,,188278.2227,188278.2227,188278.2227,112966.9337,263589.5119,112966.9337,276141.3934,234301.7883,112966.9337,317980.9984
2018.07.02   12.30,0.409,1.382,67997.475,67997.475,67997.475,40798.485,95196.465,40798.485,40798.485,99729.63,84619.08,114840.18,,257948.2269,257948.2269,257948.2269,154768.9362,361127.5177,154768.9362,378324.0661,321002.2379,154768.9362,435645.8943
2018.07.02   13.30,0.576,2.338,60194.1375,60194.1375,60194.1375,36116.4825,84271.7925,36116.4825,36116.4825,88284.735,74908.26,101661.21,,185062.0352,185062.0352,185062.0352,111037.2211,259086.8492,111037.2211,271424.3182,230299.4215,111037.2211,312549.2149
2018.07.02   14.30,0.78,1.64,52847.94375,52847.94375,52847.94375,31708.76625,73987.12125,31708.76625,31708.76625,77510.3175,65766.33,89254.305,,94789.7144,94789.7144,94789.7144,56873.8286,132705.6001,56873.8286,139024.9144,117960.5334,56873.8286,160089.2953
2018.07.02   15.30,0.734,1.374,49105.74375,49105.74375,49105.74375,29463.44625,68748.04125,29463.44625,29463.44625,72021.7575,61109.37,82934.145,,111393.2665,111393.2665,111393.2665,66835.9599,155950.573,66835.9599,163376.7908,138622.7316,66835.9599,188130.85
2018.07.02   16.30,0.511,2.833,49775.5125,49775.5125,49775.5125,29865.3075,69685.7175,29865.3075,29865.3075,73004.085,61942.86,84065.31,,194650.4911,194650.4911,194650.4911,116790.2946,272510.6875,116790.2946,285487.3869,242231.7222,116790.2946,328743.0515
2018.07.02   17.30,0.585,1.432,55729.0125,55729.0125,55729.0125,33437.4075,78020.6175,33437.4075,33437.4075,81735.885,69351.66,94120.11,,151129.7369,151129.7369,151129.7369,90677.8421,211581.6316,90677.8421,221656.9474,188072.5615,90677.8421,255241.3334
2018.07.02   18.30,0.55,0.999,65733.01875,65733.01875,65733.01875,39439.81125,92026.22625,39439.81125,39439.81125,96408.4275,81801.09,111015.765,,138016.9446,138016.9446,138016.9446,82810.1667,193223.7224,82810.1667,202424.852,171754.4199,82810.1667,233095.2841
2018.07.02   19.30,0.306,2.044,72037.35,72037.35,72037.35,43222.41,100852.29,43222.41,43222.41,105654.78,89646.48,121663.08,,136962.0529,136962.0529,136962.0529,82177.2317,191746.8741,82177.2317,200877.6776,170441.6658,82177.2317,231313.6894
2018.07.02   20.30,0.403,2.737,68688.50625,68688.50625,68688.50625,41213.10375,96163.90875,41213.10375,41213.10375,100743.1425,85479.03,116007.255,,4999.5939,4999.5939,4999.5939,2999.7563,6999.4314,2999.7563,7332.7377,6221.7168,2999.7563,8443.7585
2018.07.02   21.30,0.514,2.744,64999.4625,64999.4625,64999.4625,38999.6775,90999.2475,38999.6775,38999.6775,95332.545,80888.22,109776.87,,0.2016,0.2016,0.2016,0.1209,0.2822,0.1209,0.2956,0.2509,0.1209,0.3404
2018.07.02   22.30,0.581,3.833,55590.80625,55590.80625,55590.80625,33354.48375,77827.12875,33354.48375,33354.48375,81533.1825,69179.67,93886.695,,2.00E-04,2.00E-04,2.00E-04,1.00E-04,3.00E-04,1.00E-04,3.00E-04,3.00E-04,1.00E-04,4.00E-04
2018.07.02   23.30,0.663,1.846,38995.425,38995.425,38995.425,23397.255,54593.595,23397.255,23397.255,57193.29,48527.64,65858.94,,0,0,0,0,0,0,0,0,0,0
2018.07.03   00.30,0.706,2.877,25993.40625,25993.40625,25993.40625,15596.04375,36390.76875,15596.04375,15596.04375,38123.6625,32347.35,43899.975,,0,0,0,0,0,0,0,0,0,0
2018.07.03   01.30,0.729,2.245,22070.475,22070.475,22070.475,13242.285,30898.665,13242.285,13242.285,32370.03,27465.48,37274.58,,0,0,0,0,0,0,0,0,0,0
2018.07.03   02.30,0.843,0.61,20401.36875,20401.36875,20401.36875,12240.82125,28561.91625,12240.82125,12240.82125,29922.0075,25388.37,34455.645,,0,0,0,0,0,0,0,0,0,0
2018.07.03   03.30,0.606,0.838,20008.0125,20008.0125,20008.0125,12004.8075,28011.2175,12004.8075,12004.8075,29345.085,24898.86,33791.31,,2.00E-04,2.00E-04,2.00E-04,1.00E-04,3.00E-04,1.00E-04,3.00E-04,2.00E-04,1.00E-04,3.00E-04
2018.07.03   04.30,0.457,1.442,22155.525,22155.525,22155.525,13293.315,31017.735,13293.315,13293.315,32494.77,27571.32,37418.22,,0.21,0.21,0.21,0.126,0.294,0.126,0.308,0.2613,0.126,0.3547
