Date&Time,Cloudfactor,Windspeed,powerConsumption_CustomConsumer@18/5_Bus0,powerConsumption_CustomConsumer@18/6_Bus0,powerConsumption_CustomConsumer@18/9_Bus0,powerConsumption_CustomConsumer@14/10_Bus0,powerConsumption_CustomConsumer@18/11_Bus0,powerConsumption_CustomConsumer@13/11_Bus0,powerConsumption_CustomConsumer@13/12_Bus0,powerConsumption_CustomConsumer@19/13_Bus0,powerConsumption_CustomConsumer@14/14_Bus0,powerConsumption_CustomConsumer@17/16_Bus0,,,powerProduction_SolarPowerPlant@18/3_Bus0,powerProduction_SolarPowerPlant@20/6_Bus0,powerProduction_SolarPowerPlant@20/9_Bus0,powerProduction_SolarPowerPlant@14/8_Bus0,powerProduction_SolarPowerPlant@20/11_Bus0,powerProduction_SolarPowerPlant@11/11_Bus0,powerProduction_SolarPowerPlant@21/13_Bus0,powerProduction_SolarPowerPlant@14/16_Bus0,powerProduction_SolarPowerPlant@11/13_Bus0,powerProduction_SolarPowerPlant@19/16_Bus0,,,
2018.03.17   06.30,0.786,1.651,68380.2,68380.2,68380.2,41028.12,95732.28,41028.12,41028.12,100290.96,85095.36,115486.56,724830.12,12165133.13,0.5896,0.5896,0.5896,0.3538,0.8255,0.3538,0.8648,0.7338,0.3538,0.9958,6.2501,10493585.2,-1671547.93
2018.03.17   07.30,0.872,1.426,71782.2,71782.2,71782.2,43069.32,100495.08,43069.32,43069.32,105280.56,89328.96,121232.16,760891.32,12367977.38,10779.4788,10779.4788,10779.4788,6467.6873,15091.2703,6467.6873,15809.9022,13414.4625,6467.6873,18205.342,114262.4753,10607841.82,-1760135.564
2018.03.17   08.30,0.763,0.514,67965.58125,67965.58125,67965.58125,40779.34875,95151.81375,40779.34875,40779.34875,99682.8525,84579.39,114786.315,720435.1613,12486979.34,61723.4005,61723.4005,61723.4005,37034.0403,86412.7608,37034.0403,90527.6541,76811.3429,37034.0403,104243.9654,654268.0456,11217299.16,-1269680.177
2018.03.17   09.30,0.765,0.828,62905.10625,62905.10625,62905.10625,37743.06375,88067.14875,37743.06375,37743.06375,92260.8225,78281.91,106239.735,666794.1263,12602713.25,79049.888,79049.888,79049.888,47429.9328,110669.8431,47429.9328,115939.8357,98373.1939,47429.9328,133506.4774,837928.8125,11531933,-1070780.25
2018.03.17   10.30,0.791,1.887,60257.925,60257.925,60257.925,36154.755,84361.095,36154.755,36154.755,88378.29,74987.64,101768.94,638734.005,12748084.97,78476.3435,78476.3435,78476.3435,47085.8061,109866.8809,47085.8061,115098.6371,97659.4497,47085.8061,132537.8246,831849.2411,11243138.32,-1504946.646
2018.03.17   11.30,0.555,2.597,67285.18125,67285.18125,67285.18125,40371.10875,94199.25375,40371.10875,40371.10875,98684.9325,83732.67,113637.195,713222.9213,12997808.78,176438.5909,176438.5909,176438.5909,105863.1546,247014.0273,105863.1546,258776.6001,219568.0243,105863.1546,297985.1758,1870249.064,12740482.94,-257325.8339
2018.03.17   12.30,0.747,1.733,85028.7375,85028.7375,85028.7375,51017.2425,119040.2325,51017.2425,51017.2425,124708.815,105813.54,143604.09,901304.6175,13386142.82,102742.444,102742.444,102742.444,61645.4664,143839.4216,61645.4664,150688.9178,127857.2636,61645.4664,173520.572,1089069.906,13171301.48,-214841.3457
2018.03.17   13.30,0.92,2.598,90312.46875,90312.46875,90312.46875,54187.48125,126437.4563,54187.48125,54187.48125,132458.2875,112388.85,152527.725,957312.1688,13679140.07,32539.2595,32539.2595,32539.2595,19523.5557,45554.9633,19523.5557,47724.2473,40493.3007,19523.5557,54955.1939,344916.1508,12785909.79,-893230.2813
2018.03.17   14.30,0.677,2.276,83582.8875,83582.8875,83582.8875,50149.7325,117016.0425,50149.7325,50149.7325,122588.235,104014.26,141162.21,885978.6075,13750360.94,128740.3085,128740.3085,128740.3085,77244.1851,180236.4318,77244.1851,188819.1191,160210.1616,77244.1851,217428.0765,1364647.27,12997284.43,-753076.511
2018.03.17   15.30,0.579,2.01,63053.94375,63053.94375,63053.94375,37832.36625,88275.52125,37832.36625,37832.36625,92479.1175,78467.13,106491.105,668371.8038,13597551.61,159803.2683,159803.2683,159803.2683,95881.961,223724.5756,95881.961,234378.1268,198866.2894,95881.961,269889.9642,1693914.644,13780452.22,182900.6174
